index,neighbourhood,cluster_sum,noise_1,noise_2,noise_3,noise_4,noise_5,safety_1,safety_2,safety_3,safety_4,safety_5,entertainment_1,entertainment_2,entertainment_3,entertainment_4,entertainment_5,restaurant_1,restaurant_2,restaurant_3,restaurant_4,restaurant_5,host_1,host_2,host_3,host_4,host_5,expense_1,expense_2,expense_3,expense_4,expense_5,shopping_1,shopping_2,shopping_3,shopping_4,shopping_5,nightlife_1,nightlife_2,nightlife_3,nightlife_4,nightlife_5,transit_1,transit_2,transit_3,transit_4,transit_5
14,Soundview,"Door lock didn’t work but it probably has been fixed. Don’t expect a place to fancy and you‘ll be happy with it. A variety of stores, to include take out restaurants  and a grocery store, are just a few blocks away on foot. Apartment is air-conditioned and is very clean. It was clean, quiet, comfortable, and a great value. It was a great place to stay. ","Better than pictures, lots of amenities, great service, give it a shoot if you can, definitely putting a good word for it.",Thanks guys Great communication and hospitality!,"It was clean, quiet, comfortable, and a great value.","Highly recommended for any age, gender, race, sexuality, religion guests!!!","It was clean, quiet, and very convenient.",Room key and door key so definitely have privacy and comfort.,Excellent location closed to train station and public transportation.,Good price and location is good.,Very quiet and safe !!,"Clean appartment, safe and nice place!",Easy access to public transit.,great location and a very artistic and clean space.,Apartment was clean and nice.,Host super accommodating and easy going.,"Great location, and even better hospitality.","A variety of stores, to include take out restaurants  and a grocery store, are just a few blocks away on foot.",You can find restaurants and grocery stores just a block way.,A few takeaway places and small supermarkets nearby.,Seiy's room is located in a basement unit.,"Near to subway station, plenty of food stalls around (pizza from john’s pizza was great).","Once again, Best host ever.",You should definitely choose him as a host.,Thanks gentleman for being outstanding hosts.,"Will visit again Lovely place, lovely host.",Very friendly host and neighbors.,Ideal for people on a budget.,"Wonderful stay, great value !","Also, everything else you might need is nearby - food, supplies, etc.",Room key and door key so definitely have privacy and comfort.,"Highly recommended for any age, gender, race, sexuality, religion guests!!!","A variety of stores, to include take out restaurants  and a grocery store, are just a few blocks away on foot.",You can find restaurants and grocery stores just a block way.,Useful stores are less than a block away.,And having access to off-street parking was a huge plus!,Good price and location is good.,Backyard garden area was lovely.,"Great location, and even better hospitality.","good location, great host, comfy room.",Excellent location closed to train station and public transportation.,"Highly recommended for any age, gender, race, sexuality, religion guests!!!",Close to everything or a quick train/subway ride.,"Near to subway station, plenty of food stalls around (pizza from john’s pizza was great).",Seiy's room is located in a basement unit.,"A variety of stores, to include take out restaurants  and a grocery store, are just a few blocks away on foot.",you have a private place without interference and disturbances.
15,Astoria,"Was very easy to work with host, and it was overall a comfortable stay. Adela was very accommodating and a lovely host. It was a beautiful room and very clean. It is close to a subway stop, with plenty of places to eat and shop nearby. Thank you for a great stay!! A very nice place, great hosts and good location. ",No noises of people or traffic.,Safe place with no noise or disturbances.,But smell resulted from difference of culture.,"NO noise at all, u can sleep with no problems.","), water bottles, snacks, etc.",It was calm and safety.,Lots of privacy and hospitality.,Price quality relation is an A+!,"Great location, cleanliness, comfort and communication.","Safe, quiet and close to transportation.",Lovely living room with entertainment center.,Bonus: interesting art and furnishings.,"Shopping, restaurants, movies, museums, and transportation all within walking distance.","good localization: supermarket, laundry, restaurants .",Great hospitality and communication all around!,"Supermarket, restaurant/bar and subway nearby.",Restaurants and shops are nearby.,Local bars and restaurants nearby.,Restaurants and stores walking distance.,Grocery stores and restaurants are convenient.,"Great location, hosts, and deal!!",Host was accommodating and understanding.,Host was wonderful and friendly.,Great hosts,Host was friendly and accommodating.,Value for money was great.,Excellent location and value for money.,Good value for money and location.,Good value for money  amd services.,Bonus: interesting art and furnishings.,"Shopping, restaurants, movies, museums, and transportation all within walking distance.",Convenient to shops and restaurants.,"Walkable to restaurants, shopping and a grocery store.",Easy walk to restaurants and grocery stores.,Easy walk to shops and restaurants.,"Airport, subways, eateries, shopping and nightlife.","Great cosmopolitan area surrounded by nightlife, restaurants, grocery stores, shopping.","good localization: supermarket, laundry, restaurants .","Shopping, restaurants, movies, museums, and transportation all within walking distance.","Great location, cleanliness, comfort and communication.",Close to public transit and restaurants.,Easy to get to mass transit for city and airport access.,Super close to public transit.,Public transit is very accessible.,Easy access to public transit and public parks.
16,Bath Beach,"Cold beer & water & soda. Its easy but watch out if you are injured. It was cozy and inviting, and had a very homey feel. It was everything very good Good place and very friendly guy. Thank you so much for everything. Nice and clean place, quiet neighborhood, beautiful backyard. ","Everything about it is wonderful; location, cleanliness, friendly hosts!","Clean place, good location to subway.",Everything was clean and accurate.,Nice room with clean mattress and pillow!,Very good mattress and pillows.,Most important its got parking!!!,Very fast communication makes it all easier.,"Clean place, good location to subway.","Great place to stay, safe neighborhood and secure building.",Very quiet and safe neighborhood.,"設施比較舊些,但空間夠我們一家三口用,鄰近地鐵站非常方便 an amazing place to stay!",Super market and shopping center are nearby.,"Quick responses, amazing host, modern and stylish.",Most important its got parking!!!,"Everything about it is wonderful; location, cleanliness, friendly hosts!",Convenient stores and restaurants nearby.,Super market and shopping center are nearby.,Beautiful cozy room with great amenities and good location.,Nice room with clean mattress and pillow!,"Clean place, good location to subway.",Great host and flexible with changing travel plans.,"Great place to stay, safe neighborhood and secure building.","Quick responses, amazing host, modern and stylish.",Will recommend for all occasions.,Would love to stay over again.,Most important its got parking!!!,Its easy but watch out if you are injured.,"Clean place, good location to subway.",josephin house is very comfortable.,so nice a place...local n many things can be found easily n minimal of travel...clean quiet  u are left alone...amazing experience and cant wait to return!,Super market and shopping center are nearby.,Convenient stores and restaurants nearby.,NY buses use pre purchased cards or coins only.,"Clean place, good location to subway.","Great place to stay, safe neighborhood and secure building.",Convenient stores and restaurants nearby.,Super market and shopping center are nearby.,Beautiful cozy room with great amenities and good location.,"Everything about it is wonderful; location, cleanliness, friendly hosts!","Clean place, good location to subway.",NY buses use pre purchased cards or coins only.,Convenient stores and restaurants nearby.,"Clean place, good location to subway.",Great host and flexible with changing travel plans.,Safe neighborhood close to public transit.
17,Bayside,"It was great to have plenty of dedicated parking and a very easy to get to location. Clean, nice and so quite  Cozy and comfortable room located in a great place with good connectivity! Close to restaurants, shops and public transportation. Emmanuel was a great host. Everything was as described, and it was a very nice home away from home. Great, super clean and great location. ",Bonus for speaking spanish too.,"Only negatives are it’s kinda far from everything else, dining/ shopping/ transportation.","It is quiet, peaceful, comfortable and clean.","Very organized, no clutter, clean, and accessible.",But beware of gas leak.,"Neighborhood appears safe, family oriented.",Clean space and updated appliances.,It is clean and privacy is good.,"Clean, warm, quick to respond, accurate description, amazing hospitality and cooperation.","Food, bars, farmacy, train, etc.",Communication with host was excellent!,"Clean, friendly, and easy access to public transportation.","Quiet neighborhood, local to transportation, restaurants, etc.","Great location, very modern design, host was very responsive to all communication(text message, social media).","Food, bars, farmacy, train, etc.","Close to some shops, restaurants, bars, coffee shops.",Close to local shops and restaurants.,"Close to restaurants, shops and public transportation.","Food, bars, farmacy, train, etc.","Great locations to restaurants, convenient stores.",Unika was an incredible host.,Host is super friendly and respectful.,Wonderful location and great host!,Hosts are super friendly and humble.,Great hosts and super clean!,and close to restaurants/grocery store.,Assisted with direction in use of public transportation.,Future tenants should be aware of it before booking.,Which it wasn't an inconvenience at all.,Great location and value again and would definitely stay again.,"Close to restaurants, shops and public transportation.","Great locations to restaurants, convenient stores.","Close to some shops, restaurants, bars, coffee shops.","Steps away from everything you need: transportation, shops, restaurants, bar..","Spacious, great value, superb location to (airports, trains, grocery stores, local parks).","Quiet neighborhood, local to transportation, restaurants, etc.",Perfect house to relax and entertain guests.,"Great locations to restaurants, convenient stores.","Excellent location, plenty of food options in walking distance.",Convenient location to all forms of transportation and restaurants.,"Close to restaurants, shops and public transportation.","Food, bars, farmacy, train, etc.",Assisted with direction in use of public transportation.,Convenient location to all forms of transportation and restaurants.,Great train access to city.
18,Battery Park City,"It is in a beautiful location and near several subway lines. Great location, clean, neat apartment and very quiet. Great location, great place, great host, would totally recommend! Thanks for a great stay. It has everything you need to have a great stay.. Aude is a great host. ",Pillow (singular) provided was very flat.,"Apartment is close to highway, so noise might be an issue if you are a light sleeper.",Absolutely stunning view and accommodation.,Communication was good and prompt.,"Everything is at walking distance to food, deli, bagels food mart.",Very safe and easy access to everything.,Absolutely stunning view and accommodation.,Its a great safe location!,"Very convenient, safe and comfortable!",Good communication and very accommodating.,Communication was good and prompt.,fabulous mall with upscale shopping and restaurants.,"Frankly, it was just perfect...view, location, hospitality, comfort and  cleanliness.",Groceries and restaurant a plenty nearby.,Communications with host was seamless.,fabulous mall with upscale shopping and restaurants.,"Close to restaurants, coffee shops and metro.",Groceries and restaurant a plenty nearby.,Beautiful scenery bars and restaurants.,"Everything is at walking distance to food, deli, bagels food mart.",Great hosting and quick to assist with anything.,Great host and highly recommend!,great place and great host!,Ks is an extraordinary host!,"Great place, great location, great host.","Frankly, it was just perfect...view, location, hospitality, comfort and  cleanliness.","Great apartment, nice view, clean and with an interesting decoration.",Fabulous view and convenient transportation!,Overall its value for money in such good location Great location!,Absolutely stunning view and accommodation.,"Close to good food, shopping and all transport, with water views.","Close to restaurants, coffee shops and metro.","Everything is at walking distance to food, deli, bagels food mart.",A little grocery store located next door.,Groceries and restaurant a plenty nearby.,Beautiful scenery bars and restaurants.,fabulous mall with upscale shopping and restaurants.,"Everything is at walking distance to food, deli, bagels food mart.",Groceries and restaurant a plenty nearby.,"Close to restaurants, coffee shops and metro.","Very nice apartment, great location, easy access to transport and getting around town.","Nearby are almost all metro station, business district and major attractions.",Really convenient to subway stations.,Good communication via text and phone call!,"Everything is at walking distance to food, deli, bagels food mart."
19,Bay Terrace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Bay Terrace, Staten Island",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Baychester,"It is very spacious, super clean, safe and convenient to transportation and a corner store (walking distance). Thank you for a wonderful stay! It was a nice room, clean and cool. Great place, location and super nice host. It's in a very nice location and it made us feel right at home. Dusean was a great host and very accomodating. ","bath linen, soap, etc) are provided.","Do it, stop wasting time.",Friendly contact with a short response time.,Communication was always clear and timely.,"Convenient location to subway stations, dining, shopping etc.","Funny, friendly, caring and organized.","Safe neighborhood, close to bus and subway lines, and a very clean house.",safe neighborhood to walked around.,"Location is great, safe and walking distance to public transportation.",Cleanliness Great place to stay.,Fantastic studio with amazing backyard!,Gorgeous space with amazing style and function!,Highly Recommend  Great space with working amenities.,Wonderful amenities and sparkling clean home.,"Great location, shops, food and transit in walking distance.","Good restaurants, grocery shopping nearby.",Restaurants and convenient stores are also within walking distance.,Basement apartment with on street parking.,A pharmacy and stores are nearby.,"Apartment is located in a calm area with shops, restaurants and a train stations within walking distance.",Host family was super nice and friendly.,Great host and great place.,Host provided very quick responses.,Host was easily accessible through phone.,Super great host and attended Great space  Good spot would go again.,Very clean....very accomodating....family oriented place.,A good value for money.,"Once you're cleared after payment, you granted access and given instructions.",Value for money was excellent.,Parking was convenient and free.,"Good restaurants, grocery shopping nearby.","Great location, shops, food and transit in walking distance.","Really short walk to grocery, food and laundromat.",Location is good and convenient to shopping .,"Convenient location to subway stations, dining, shopping etc.","Great location, shops, food and transit in walking distance.",Wonderful amenities and sparkling clean home.,"Convenient location to subway stations, dining, shopping etc.","Value for money, clean accomodation and quiet neighborhood .","Good restaurants, grocery shopping nearby.","Convenient location to subway stations, dining, shopping etc.",Easy access to subway and friendly neighborhood.,"No taxis, car service need to call in advance.",Location was very accessible by subway and car.,location is near metro station.
22,Bayswater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Bedford-Stuyvesant,"It is clean, cozy and very quiet. Suzanne is a fabulous host and is very friendly. It is a large place with all you need to be comfortable. Lovely hosts and nice big cozy apartment Very clean and comfortable and in a great location. Thank you for a great stay ! It is located in a nice neighborhood that's easy to navigate and has close proximity to cafes, restaurants, and corner stores. ",Street noises easily penetrate through.,No noise and good for sleep.,Minimal noise and great host.,No street noise at all and aircon was fantastic.,"Lots of noises, color and interest.","Quick message response, safe environment and very clean rooms.","Fast communication, easy access and privacy.","Good things: near subway, safety, privacy, really clean room.",But safety place and nice location.,Impeccable cleanliness and clear communication.,Veronika's places was close to many restaurants & entertainment options.,"great info on restaurants, and transportation.","Great local entertainment, shops and eateries.","Great hospitality , communication superb.","Cable television, books, and board games for entertainment.","Grocery store, parks, bars, and restaurants.","and local restaurants, bars, and coffee shops.","Grocery, hospital , bakery, restaurant are at walking distance .","Transport, bars, restaurants and cafes, supermarket, wine shops, laundromat and more.","Many shops, restaurant and laundry nearby.",Friendly hosts and would defo recommend!,hostess kind and very friendly.,Great host,Host was great and responsive.,Host was great and communicative.,Awsome value for that amount of money!,Good value for ones money.,Value for money was good.,"Conclusion: nice stay, good value for money!",Value for money.,shopping.,Shopping facilities are within walking distance.,Shopping for groceries was also very close within walking distance.,shops and great cafes.,Walking distance from restaurants and shops.,Gave suggestions to restaurants and nightlife.,Great apartment close to public transit and local nightlife.,"Location is close to food markets, cafes, and restaurants.","Accessibility to various eateries, shops, subway's, and parks.","Great host, charming accommodations, super location to restaurants  and subway stations.",Easy access to public transit.,Close to transit and breakfast spots.,Easy to access public transit.,Walking distance to public transit (subway).,Easy walking distance to public transit.
24,Belle Harbor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Bellerose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Bensonhurst,"Great place to stay in, easy everything! Very clean and private room with great service and very responsive. As described in description, would've been great if it had a fridge but everything was fine. Big and clean room, very close to a subway station which is great! It is a good place .very clean and big . Thank you for everything, sir! ",Presente smart tv con cable.,Text about room location and key.,No noise perfect for a good rest.,It has its own refridgerator and good lights / lighting if you want to read.,Good communication and coordination with parking.,Has connectivity issues Great private clean space.,little sign of cleanliness and dirt.,"Super cute apartment, close to transit and food.",Super nice neighborhood with interesting typical architecture.,"Very good location, good level of privacy.",Good communication and coordination with parking.,Studio apartment perfect for me.,Accomodation is as wonderful as advertized.,Pictures are accordant with realty.,Misleading photos and poor service .,"Location is very accessible to subway and bus stations, grocery, fast food stores, and restaurants.","Supermarket, delis, bank, subway station nearby within walking distance.",Closed to many restaurants and shops.,"Great area, walking distance to multiple eateries, coffee shops and shopping.",Many restaurants and a shopping area all by public transportation!,Honglip is an excellent host!,Sunny is a wonderful host.,Great place and great host!,Great place and great host.,Host is nice and friendly.,"Complete privacy, convenient room and perfect location are guaranteed.",Price is low but good location and every is acceptable.,Only issue was room lock.,Text about room location and key.,It is excellent in terms of value-for-money.,"Shopping street and subway station are very close, so it's covenient.","Great area, walking distance to multiple eateries, coffee shops and shopping.","Very convenient location - walking distance to groceries, shopping areas, laundries, and subway station.","Super cute apartment, close to transit and food.",Plenty of grocery shops nearby but you need to walk or drive for restaurants.,"Great area, walking distance to multiple eateries, coffee shops and shopping.","Very convenient location - walking distance to groceries, shopping areas, laundries, and subway station.",Super nice neighborhood with interesting typical architecture.,"Super cute apartment, close to transit and food.",Accomodation is spacious and clean.,"Location is very accessible to subway and bus stations, grocery, fast food stores, and restaurants.",It’s also convenient to transportation and local restaurants/supermarkets!,"Supermarket, delis, bank, subway station nearby within walking distance.",Close to public transport and local shops/food.,Metro station is in walking distance.
27,Bergen Beach,"Great for a vacation place to stay with friends. Spacious living area and very clean and a nice neighborhood. Close to a food shops and restaurants. Thanks Mr. & Mrs Gerard! It was a great house and very comfortable. ""GREAT PLACE TO VISIT "" Eli’s apartment is very large and comfortable. ","Everything was clean, nice and comfortable.","Master bedroom comes with bathroom , living room very big and stylish everything was clean lighting is great .","Good amenities, very clean, expect a high level of comfort and privacy.",Quiet safe neighborhood walking distance to a lot of places.,Host was very responsive and available for questions and direction.,Very clean and quiet area.,It was clean and comfortable.,Quiet safe neighborhood walking distance to a lot of places.,"Good amenities, very clean, expect a high level of comfort and privacy.",Total privacy and indeed on a quiet street as advertised.,A little bit far from metro station but easy to use busses.,Great location in a relaxed neighborhood.,Great for a vacation place to stay with friends.,"Good amenities, very clean, expect a high level of comfort and privacy.",Overall it's a great space.,Close to a food shops and restaurants.,"It’s  close to shops,restaurants and supermarkets.","Clean, spacious, and cozy studio.",Great location in a relaxed neighborhood.,"Master bedroom comes with bathroom , living room very big and stylish everything was clean lighting is great .",Stayed for a work trip.,It was truly a home away from home.,"All in all its a great stay, just be prepared with necessities..",A little bit far from metro station but easy to use busses.,It was just an overall great stay.,Everything you'll need is close by.,A little bit far from metro station but easy to use busses.,Definitely recommend renting a car as mass transit is not too close.,It was like a home away from home.,Loved it and very close to a grocery store to stock up on snacks.,Loved it and very close to a grocery store to stock up on snacks.,Close to a food shops and restaurants.,A little bit far from metro station but easy to use busses.,Great for a vacation place to stay with friends.,"It’s  close to shops,restaurants and supermarkets.",Great location in a relaxed neighborhood.,Quiet safe neighborhood walking distance to a lot of places.,Great for a vacation place to stay with friends.,Close to a food shops and restaurants.,"Good amenities, very clean, expect a high level of comfort and privacy.",A little bit far from metro station but easy to use busses.,Definitely recommend renting a car as mass transit is not too close.,Great location in a relaxed neighborhood.,Quiet safe neighborhood walking distance to a lot of places.,"Good amenities, very clean, expect a high level of comfort and privacy."
